Stamar Tanjung Priok;;;;;;;;;
;;;;;;;;;
;Temperature Max C (Daily);Temperature Mean C (Daily);Temperature Min C (Daily);Evaporation Total mm (Daily);Dew Point Mean C (Daily);Relative Humidity Mean % (Daily);Wind Speed Mean ms (Daily);Wind Speed Max ms (Daily);Sunshine Hours (Daily)
15/04/2022 00:00;33.4;30.1;27.1;4.6;24.6;72.5;1.6;5.7;9
16/04/2022 00:00;32.2;29.9;27.6;7.4;24.7;73.5;1.5;4.1;8.7
17/04/2022 00:00;32.6;30.3;26.8;5;25.6;76.1;2.3;7.7;9.1
18/04/2022 00:00;33;29.6;27;4;25;76.3;1.6;3.6;8.9
19/04/2022 00:00;32.7;29.4;27;7.6;24.5;75;1.3;3.1;8.1
20/04/2022 00:00;32.2;29.4;27;4.3;24.6;75.6;2.6;6.7;7.3
21/04/2022 00:00;29.4;27.7;26.4;5.7;24.8;84.6;.6;2.6;6.6
22/04/2022 00:00;31.6;26.4;24.8;2.6;24.1;87.5;1.3;5.7;.4
23/04/2022 00:00;32.4;29.5;25.6;4.3;25.5;79.4;1.3;4.6;2.2
24/04/2022 00:00;32.2;29.4;26.6;4.6;24.5;75.2;1.3;3.1;8.7
25/04/2022 00:00;33.2;29;26;5.3;24.6;77.6;2;4.6;7.1
26/04/2022 00:00;32.8;30;27.2;4.9;24.3;71.9;2.6;3.6;8.5
27/04/2022 00:00;32.3;28.3;24.6;4.4;25.1;83.2;1.7;5.7;7.9
28/04/2022 00:00;31.2;28.5;25.8;1;24.9;80.8;2.7;6.2;5.6
29/04/2022 00:00;33.2;29.3;26.8;3;25.4;79.5;1.7;4.6;2.6
30/04/2022 00:00;31.5;29;27;.5;25.6;82.2;1.5;3.6;4.3
01/05/2022 00:00;31.3;28.9;27;3.8;25.8;83.5;1.1;3.6;3.3
02/05/2022 00:00;32;27.9;25.2;2;25.1;85.1;1.1;5.7;4.8
03/05/2022 00:00;32.2;29.2;26;2.4;25.7;81.7;1;3.6;5
04/05/2022 00:00;32.4;28.8;26.6;2.2;25.2;80.9;1.7;6.7;3.3
05/05/2022 00:00;33.8;30.1;26.6;1.8;25.5;76.3;2.3;6.7;4
06/05/2022 00:00;33.4;30.5;27.8;6.6;26;77;1.9;5.7;7.3
07/05/2022 00:00;33;30.2;27.8;2.4;25.6;76.7;2.1;3.1;8.9
08/05/2022 00:00;33.2;30.6;27.8;6;25.9;76.1;1.4;2.6;6.9
09/05/2022 00:00;32.8;29.4;27;4.5;25.9;81.5;2;6.2;8.8
10/05/2022 00:00;33.8;30.3;26.2;3.9;26;77.8;1.8;5.1;4.1
11/05/2022 00:00;31.9;29.6;26.4;4.9;25.8;80.3;1.8;4.6;6.9
12/05/2022 00:00;32.6;29.5;27.2;4;25.2;78;2.7;5.7;3
13/05/2022 00:00;32.4;29.9;27.8;4.8;25.4;76.5;2.4;4.1;6.2
14/05/2022 00:00;33.4;30.3;27.5;5.8;26.1;78.2;2;3.6;8
15/05/2022 00:00;33.4;28.7;26.6;2.8;25.5;82.6;1.1;3.6;4.5
16/05/2022 00:00;32.6;29.4;27;4.4;25.3;78.8;1.6;4.1;6.3
17/05/2022 00:00;32.8;29.9;27.8;4.5;25.7;77.9;1.4;3.6;7.8
18/05/2022 00:00;32.8;29;27.2;4.8;25.2;80.2;1.6;4.1;4.1
19/05/2022 00:00;31.5;28.5;26.2;1.5;25.2;82.4;1.4;3.6;7.4
20/05/2022 00:00;31.6;28.3;26;1.6;24.8;81.4;1.6;3.1;2.9
21/05/2022 00:00;31.2;28.5;26;4.9;24.7;79.9;2;5.1;6.1
22/05/2022 00:00;30.8;28.2;26.6;3;24.9;82.7;1.8;5.1;4.3
23/05/2022 00:00;32.8;29.6;27.4;2.9;25;76.2;3.7;7.2;.7
24/05/2022 00:00;33.4;30.4;27;4.2;25.7;76;3.3;6.7;7.3
25/05/2022 00:00;32.2;27.9;26;4.7;24.4;81.5;2.4;6.2;6.3
26/05/2022 00:00;30;27.5;25.5;8.7;24.3;83.2;1.5;3.6;2.4
27/05/2022 00:00;32.4;28.7;24.3;.5;24.6;78.6;1.6;6.7;.3
28/05/2022 00:00;29.8;26.4;23.2;6.1;23.8;85.6;1.9;8.7;8.5
29/05/2022 00:00;32.2;28.5;23.2;1.4;24.5;79.2;1.4;5.1;.7
30/05/2022 00:00;30.8;27.8;25.6;.5;24.5;82.3;.9;3.6;7.8
31/05/2022 00:00;32.2;28.3;25.8;1.3;24.3;79;1.7;5.7;3.8
01/06/2022 00:00;33;29.5;26.6;2.8;25;77;1.3;5.7;6.8
