tanggal,tomang,sukapura,pulomas,manggarai,lebak bulus,kemayoran,kelapa gading,ciganjur,istana,manggarai2,sunter kodamar,sunter rawabadak,rorotan,bandara halim,pakubuwono,ragunan,pasar minggu,kapuk,kedoya selatan,pulo gadung,sunter hulu,setiabudi,waduk melati,cideng,karet,teluk gong
3/2/2022,8,10.8,18.2,7.6,7.6,72.2,18.4,,9,6,5,5,0,3,3,4,5,4,4,0,0,8,6,7,5,4.5
3/3/2022,0.4,36,0,0.4,0.4,52.2,0,0.8,2,0,6,16,16.5,0,0.5,0,0,2,5.4,0,0,2,1,5,2,14
3/4/2022,4,14.6,3.4,0,,3,3.6,1.6,4,2,7,5.5,15,0.2,5,2,2,7,2.4,8,0,3,3,3.5,2,3
3/5/2022,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
3/6/2022,52.2,16.6,21.2,4.4,38,91,4,8.6,5,2,5,10,9,3,3,7,6,25,12.5,7,11,1,7,10,5,41
3/7/2022,0.6,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,,2,1.8,1,0,0,0,1,0,2.5
3/8/2022,0,0.2,0,3.2,0.4,0,0.2,0,0,0,0,0,,0.5,0,1,2,0,0,0,0,0,1,0,1,0
3/9/2022,0,0.2,0,0,0,0,0,0,6,20,0,8,,46.2,0.5,5.5,7,0,0.8,8,5,19,0,4,8,6
3/10/2022,0,0,0,0,8.8,2,0,0,0,0,0,0,,0.1,0,0,,0,0,0,0,0,0,0,0,0
3/11/2022,0,0,0,0,37.8,0,0,14.2,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,0,0,0
3/12/2022,1.6,8,20.4,13.8,20,21,13.2,6.8,0,15,5,15,8,22.6,18,20.5,19,0,5.6,3,16,23,22,2,18,4
3/13/2022,0.2,36.2,80.4,11,31,372.4,116,7.6,17,12,49,15,38,16.6,14,30.5,40,5.5,12,11,16,15,13,15,11.5,6
3/14/2022,,0,2,16.8,1.6,8.4,0,4,0,8,0,0,0,17.4,19,20,24,0,0,0,10,2,1,0,0,0
